Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,SET 3,17,Bravo Jaime,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,7,7,0,5,2,7,42.86,0,0,3,3,0
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,SET 3,18,Bonacic Kaj,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,1,Poluian Tymofii,-,OH,0,0,0,0,-,-66.67,0,0,0,0,-,0,0,0,0,-,0,2,1,3,-66.67,0,0,6,6,0,0,0,0,-,0,0,0,0,-
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,2,Drozd Maksym,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,5,Plotnytskyi Oleh,C,OH,24,18,3,3,-,26.32,18,5,11,34,38.24,3,1,1,5,40,3,3,12,18,0,17,1,23,41,39.02,3,3,6,0,0,0,6,6,0
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,7,Synytsia Yurii,-,S,4,2,1,1,-,4,2,0,2,4,50,1,1,3,5,0,1,2,13,16,-6.25,0,0,1,1,0,5,1,7,57.14,26,1,61,88,28.41
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,8,Teryomenko Dmytro,-,MB,15,12,3,0,-,16.28,12,0,3,15,80,3,4,6,13,-7.69,0,4,11,15,-26.67,0,0,0,0,-,1,1,2,0,0,0,2,2,0
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,10,Semeniuk Yurii,-,MB,8,6,1,1,-,-2.44,6,1,4,11,45.45,1,6,7,14,-35.71,1,2,13,16,-6.25,0,1,0,1,-100,1,0,2,50,0,0,1,1,0
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,11,Kanaiev Dmytro,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,12,Yevstratov Serhii,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL SETS,13,Tupchii Vasyl,-,O,18,16,1,1,-,11.32,16,4,10,30,40,1,3,3,7,-28.57,1,5,10,16,-25,0,0,0,0,-,2,1,3,33.33,0,0,0,0,-
