Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL,-,-,51,43,7,1,-,43,12,54,109,7,22,19,48,1,2,64,67,13,4,49,66,36,14,55,16,0,89,105
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,1,-,-,13,10,3,0,-,10,6,17,33,3,6,3,12,0,0,20,20,6,1,15,22,8,2,12,5,0,28,33
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,2,-,-,18,15,3,0,-,15,3,14,32,3,6,7,16,0,1,22,23,4,2,16,22,8,5,15,5,0,25,30
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,3,-,-,20,18,1,1,-,18,3,23,44,1,10,9,20,1,1,22,24,3,1,18,22,20,7,28,6,0,36,42
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,ALL,-,-,67,57,6,4,-,57,11,40,108,6,13,23,42,4,7,62,73,18,1,45,64,43,10,59,18,3,90,111
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,1,-,-,23,18,4,1,-,18,5,8,31,4,4,10,18,1,2,21,24,7,0,12,19,12,2,16,5,2,25,32
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,2,-,-,21,19,0,2,-,19,4,15,38,0,4,5,9,2,3,20,25,5,0,17,22,14,3,17,9,1,29,39
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,3,-,-,23,20,2,1,-,20,2,17,39,2,5,8,15,1,2,21,24,6,1,16,23,17,5,26,4,0,36,40
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL,32/96 (33%),65/85 (76%),75,59,10,6,-,59,13,33,105,10,15,21,46,6,21,70,97,20,2,50,72,32,9,45,26,1,80,107
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,1,8/24 (33%),17/20 (85%),23,17,4,2,-,17,4,5,26,4,3,7,14,2,4,18,24,9,0,9,18,8,3,13,5,1,23,29
