Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2022,Men,2,2022/7/29,Quarter_Finals,Seoul,Korea,Türkiye,Qatar,3,1,25,25,22,25,-,23,16,25,15,-,4,-,-,21,17,3,1,-,17,2,13,32,3,0,6,9,1,2,21,24,2,0,11,13,17,0,21,0,0,30,30
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Czech Republic,Tunisia,3,1,25,17,28,25,-,16,25,26,16,-,ALL,-,-,65,47,10,8,-,47,20,42,109,10,2,6,18,8,16,70,94,11,6,51,68,49,0,51,0,1,108,109
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Czech Republic,Tunisia,3,1,25,17,28,25,-,16,25,26,16,-,1,-,-,14,11,1,2,-,11,4,7,22,1,1,3,5,2,3,20,25,0,0,10,10,13,0,13,0,0,21,21
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Czech Republic,Tunisia,3,1,25,17,28,25,-,16,25,26,16,-,2,-,-,13,7,2,4,-,7,6,11,24,2,0,0,2,4,2,11,17,3,6,13,22,10,0,12,0,1,24,25
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Czech Republic,Tunisia,3,1,25,17,28,25,-,16,25,26,16,-,3,-,-,22,20,2,0,-,20,6,11,37,2,1,1,4,0,7,21,28,5,0,17,22,13,0,13,0,0,36,36
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Czech Republic,Tunisia,3,1,25,17,28,25,-,16,25,26,16,-,4,-,-,16,9,5,2,-,9,4,13,26,5,0,2,7,2,4,18,24,3,0,11,14,13,0,13,0,0,27,27
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,ALL,-,-,53,38,9,6,-,38,20,47,105,9,3,3,15,6,16,62,84,7,8,63,78,45,0,45,0,1,100,101
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,1,-,-,10,8,2,0,-,8,6,13,27,2,0,1,3,0,6,10,16,3,2,17,22,8,0,8,0,0,27,27
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,2,-,-,19,10,3,6,-,10,2,6,18,3,1,2,6,6,3,16,25,0,4,11,15,9,0,9,0,0,17,17
2022,Men,3,2022/7/29,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,3,-,-,14,12,2,0,-,12,4,14,30,2,0,0,2,0,4,22,26,3,0,18,21,14,0,14,0,0,28,28
