Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2022,Men,3,44771,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,SET 3,14,12,2,0,,59.85,12,4,14,30,101.67,2,0,0,2,200,0,4,22,26,-106.67,3,0,18,21,42.86,14,0,14,400,0,0,28,28,0
2022,Men,3,44771,Quarter_Finals,Seoul,Korea,Tunisia,Czech Republic,1,3,16,25,26,16,-,25,17,28,25,-,SET 4,10,8,2,0,,-108.4,8,8,14,30,78.5,2,2,0,4,0,0,3,14,17,-108.33,1,2,17,20,-20,14,0,14,600,0,1,28,29,-4.55
2022,Men,5,44772,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,ALL SETS,59,41,16,2,,120.63,41,10,16,67,277.51,16,1,8,25,451.67,2,14,57,73,-105.35,6,3,38,47,19.12,23,0,23,500,0,2,66,68,-26.69
2022,Men,5,44772,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,SET 1,19,14,4,1,,90.57,14,4,8,26,178.78,4,1,2,7,250,1,3,20,24,-66.67,1,2,15,18,-14.29,11,0,11,500,0,0,26,26,0
2022,Men,5,44772,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,SET 2,20,13,6,1,,138.88,13,3,3,19,200,6,0,3,9,400,1,4,20,25,-83.33,1,1,13,15,3.33,4,0,4,400,0,1,18,19,-100
2022,Men,5,44772,Semifinals,Seoul,Korea,Cuba,Czech Republic,3,0,25,25,25,-,-,22,18,18,-,-,SET 3,20,14,6,0,,82.19,14,3,5,22,291.67,6,0,3,9,360,0,7,17,24,-183.34,4,0,10,14,110,8,0,8,400,0,1,22,23,-5
2022,Men,6,44772,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,ALL SETS,50,44,3,3,,3.2,44,16,29,89,140.43,3,1,9,13,133.33,3,11,54,68,-130.11,12,5,49,66,-50,38,0,42,744.17,0,2,92,94,-17.99
2022,Men,6,44772,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,SET 1,17,16,0,1,,-85.67,16,6,5,27,151.01,0,0,0,0,,1,6,17,24,-283.33,2,1,17,20,100,10,0,12,385.71,0,0,27,27,0
2022,Men,6,44772,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,SET 2,17,14,3,0,,107.2,14,6,10,30,170,3,0,4,7,300,0,2,20,22,-33.33,7,3,12,22,43.18,13,0,15,658.33,0,0,30,30,0
2022,Men,6,44772,Semifinals,Seoul,Korea,Korea,Türkiye,0,3,24,21,22,-,-,26,25,25,-,-,SET 3,16,14,0,2,,96.76,14,4,14,32,268.75,0,1,5,6,-100,2,3,17,22,-33.34,3,1,20,24,40,15,0,15,700,0,2,35,37,-103.23
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,ALL SETS,75,62,11,2,,101.53,62,19,40,121,390.75,11,1,13,25,316.66,2,16,89,107,-146.58,29,5,65,99,192.7,29,1,39,717.85,0,1,122,123,-1.04
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,SET 1,14,12,1,1,,75.74,12,8,12,32,83.57,1,0,6,7,100,1,2,17,20,-49.99,7,1,14,22,88.57,11,1,14,550,0,0,31,31,0
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,SET 2,12,11,1,0,,68.81,11,4,6,21,150,1,0,2,3,50,0,2,14,16,-100,6,2,14,22,53.33,3,0,6,200,0,1,21,22,-7.14
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,SET 3,18,15,2,1,,162.41,15,1,6,22,406.67,2,0,1,3,200,1,3,22,26,-53.33,5,2,12,19,132.5,4,0,5,350,0,0,23,23,0
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,SET 4,16,11,5,0,,47.78,11,3,10,24,209.85,5,1,2,8,333.33,0,5,19,24,-128.33,6,0,13,19,103.33,6,0,8,300,0,0,25,25,0
2022,Men,7,44773,Final 3rd-4th,Seoul,Korea,Czech Republic,Korea,2,3,19,16,26,25,20,25,25,24,23,22,SET 5,15,13,2,0,,57.14,13,3,6,22,289.29,2,0,2,4,100,0,4,17,21,-158.33,5,0,12,17,82.14,5,0,6,366.67,0,0,22,22,0
2022,Men,8,44773,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,ALL SETS,73,56,9,8,,113.9,56,13,26,95,318.06,9,3,11,23,245.83,8,17,72,97,-79.58,11,6,54,71,-56.16,30,0,32,763.33,0,0,91,91,0
2022,Men,8,44773,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,SET 1,19,14,2,3,,130.94,14,2,7,23,320.83,2,2,3,7,66.67,3,4,17,24,-33.33,3,0,13,16,64.29,8,0,8,500,0,0,21,21,0
2022,Men,8,44773,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,SET 2,16,14,1,1,,57.03,14,3,7,24,203.1,1,0,3,4,50,1,4,19,24,-133.33,3,4,12,19,-35.55,8,0,8,500,0,0,23,23,0
2022,Men,8,44773,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,SET 3,18,12,3,3,,81.75,12,5,4,21,280.15,3,1,1,5,66.67,3,5,16,24,-77.38,0,1,16,17,-11.11,7,0,8,275,0,0,21,21,0
2022,Men,8,44773,Final 1st-2nd,Seoul,Korea,Cuba,Türkiye,3,1,25,23,25,25,-,17,25,20,20,-,SET 4,20,16,3,1,,133.46,16,3,8,27,258.33,3,0,4,7,250,1,4,20,25,-75,5,1,13,19,62.5,7,0,8,450,0,0,26,26,0
2022,Women,4,44770,Quarter_Finals,Zadar,Croatia,Belgium,Czech Republic,3,0,25,25,25,-,-,18,23,15,-,-,ALL SETS,57,46,5,6,,76.82,46,8,52,106,249,5,13,0,18,-216.67,6,7,60,73,-6.74,12,1,39,52,85.29,0,13,13,-600,11,1,93,105,10
2022,Women,4,44770,Quarter_Finals,Zadar,Croatia,Belgium,Czech Republic,3,0,25,25,25,-,-,18,23,15,-,-,SET 1,18,16,1,1,,76.6,16,2,17,35,223.53,1,4,0,5,-300,1,3,20,24,-39.29,7,0,9,16,130.47,0,3,3,-300,4,0,31,35,11.76
2022,Women,4,44770,Quarter_Finals,Zadar,Croatia,Belgium,Czech Republic,3,0,25,25,25,-,-,18,23,15,-,-,SET 2,18,14,2,2,,39.88,14,5,23,42,208.64,2,7,0,9,-200,2,2,21,25,-7.5,4,1,16,21,77.78,0,5,5,-300,5,1,34,40,10.53
2022,Women,4,44770,Quarter_Finals,Zadar,Croatia,Belgium,Czech Republic,3,0,25,25,25,-,-,18,23,15,-,-,SET 3,21,16,2,3,,150.48,16,1,12,29,250.31,2,2,0,4,100,3,2,19,24,8.34,1,0,14,15,25,0,5,5,-300,2,0,28,30,7.14
2022,Women,1,44770,Quarter_Finals,Zadar,Croatia,Croatia,Kazakhstan,3,0,25,25,25,-,-,20,15,20,-,-,ALL SETS,55,44,4,7,,160.68,44,13,40,97,319.18,4,11,0,15,-400,7,6,61,74,-6.47,7,4,36,47,-118.78,3,6,9,40,8,1,88,97,14.93
2022,Women,1,44770,Quarter_Finals,Zadar,Croatia,Croatia,Kazakhstan,3,0,25,25,25,-,-,20,15,20,-,-,SET 1,19,13,3,3,,7.73,13,5,21,39,109.02,3,5,0,8,-166.67,3,3,19,25,-19.04,2,2,13,17,-87.5,1,1,2,0,1,0,38,39,2.78
2022,Women,1,44770,Quarter_Finals,Zadar,Croatia,Croatia,Kazakhstan,3,0,25,25,25,-,-,20,15,20,-,-,SET 2,19,17,1,1,,221.29,17,3,12,32,343.22,1,1,0,2,0,1,2,21,24,-50,1,1,12,14,-25,2,2,4,100,3,1,28,32,15
2022,Women,1,44770,Quarter_Finals,Zadar,Croatia,Croatia,Kazakhstan,3,0,25,25,25,-,-,20,15,20,-,-,SET 3,17,14,0,3,,37.78,14,5,7,26,179.98,0,5,0,5,-300,3,1,21,25,2.5,4,1,11,16,59.52,0,3,3,-200,4,0,22,26,19.05
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,ALL SETS,71,48,16,7,,-24.55,48,24,75,147,35.87,16,12,0,28,75,7,14,77,98,-47.51,16,6,57,79,-15.1,2,14,16,-600,4,1,135,140,2.52
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,SET 1,18,10,5,3,,88.57,10,5,6,21,54.17,5,2,0,7,233.33,3,3,19,25,-16.66,4,1,8,13,78.33,1,4,5,-100,2,0,18,20,10
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,SET 2,19,14,4,1,,65.44,14,4,17,35,143.33,4,2,0,6,200,1,4,19,24,-163.33,2,0,13,15,34.29,0,2,2,-200,0,0,28,28,0
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,SET 3,13,7,5,1,,39.77,7,4,20,31,69.44,5,5,0,10,0,1,1,21,23,0,4,2,11,17,45,1,5,6,-300,0,0,33,33,0
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,SET 4,9,7,1,1,,-115.16,7,8,22,37,-137.5,1,2,0,3,-100,1,2,8,11,-100,5,2,16,23,25,0,3,3,-200,1,0,34,35,3.45
2022,Women,3,44771,Quarter_Finals,Zadar,Croatia,Colombia,France,3,2,25,25,22,11,16,17,16,25,25,14,SET 5,12,10,1,1,,-3.64,10,3,10,23,138.1,1,1,0,2,0,1,4,10,15,-125,1,1,9,11,0,0,0,0,,1,1,22,24,0
2022,Women,6,44772,Semifinals,Zadar,Croatia,Colombia,Belgium,1,3,25,20,21,16,-,21,25,25,25,-,ALL SETS,55,45,7,3,,46.79,45,27,94,166,109.76,7,11,0,18,-100,3,4,76,83,-8.03,8,6,68,82,2.2,4,17,22,-433.33,6,1,148,155,3.85
2022,Women,6,44772,Semifinals,Zadar,Croatia,Colombia,Belgium,1,3,25,20,21,16,-,21,25,25,25,-,SET 1,17,13,2,2,,111.67,13,6,15,34,231.95,2,1,0,3,0,2,1,21,24,-20.83,1,3,14,18,-36.67,1,4,6,-166.67,2,0,29,31,6.67
2022,Women,6,44772,Semifinals,Zadar,Croatia,Colombia,Belgium,1,3,25,20,21,16,-,21,25,25,25,-,SET 2,15,13,2,0,,151.02,13,6,27,46,335.83,2,5,0,7,-200,0,1,20,21,-33.33,3,0,17,20,50,1,5,6,-200,2,1,41,44,3.03
2022,Women,6,44772,Semifinals,Zadar,Croatia,Colombia,Belgium,1,3,25,20,21,16,-,21,25,25,25,-,SET 3,12,10,1,1,,-15.85,10,8,26,44,26.31,1,4,0,5,-300,1,1,19,21,0,1,2,19,22,-14.29,2,4,6,-200,1,0,39,40,2.5
2022,Women,6,44772,Semifinals,Zadar,Croatia,Colombia,Belgium,1,3,25,20,21,16,-,21,25,25,25,-,SET 4,11,9,2,0,,26.04,9,7,26,42,-29.99,2,1,0,3,100,0,1,16,17,-25,3,1,18,22,40,0,4,4,-300,1,0,39,40,3.7
